"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","HOUSECOST","REAL","IDX2015","A","2019",102.488286942783,
"AUS","HOUSECOST","REAL","IDX2015","A","2020",106.661359718641,
"AUS","HOUSECOST","REAL","IDX2015","A","2021",122.793406011289,
"AUS","HOUSECOST","REAL","IDX2015","A","2022",124.484650610503,
"AUT","HOUSECOST","REAL","IDX2015","A","2019",118.174269684632,
"AUT","HOUSECOST","REAL","IDX2015","A","2020",125.711761366826,
"AUT","HOUSECOST","REAL","IDX2015","A","2021",138.436448021319,
"AUT","HOUSECOST","REAL","IDX2015","A","2022",143.690434173119,
"BEL","HOUSECOST","REAL","IDX2015","A","2019",106.309642832496,
"BEL","HOUSECOST","REAL","IDX2015","A","2020",109.871025491603,
"BEL","HOUSECOST","REAL","IDX2015","A","2021",114.897383818817,
"BEL","HOUSECOST","REAL","IDX2015","A","2022",110.52339191222,
"CAN","HOUSECOST","REAL","IDX2015","A","2019",122.656916357209,
"CAN","HOUSECOST","REAL","IDX2015","A","2020",129.675110495162,
"CAN","HOUSECOST","REAL","IDX2015","A","2021",144.573013737462,
"CAN","HOUSECOST","REAL","IDX2015","A","2022",152.515286181161,
"CZE","HOUSECOST","REAL","IDX2015","A","2019",131.009093196028,
"CZE","HOUSECOST","REAL","IDX2015","A","2020",138.071576627999,
"CZE","HOUSECOST","REAL","IDX2015","A","2021",160.643092817437,
"CZE","HOUSECOST","REAL","IDX2015","A","2022",163.335730190274,
"DNK","HOUSECOST","REAL","IDX2015","A","2019",114.459762285405,
"DNK","HOUSECOST","REAL","IDX2015","A","2020",119.87713958993,
"DNK","HOUSECOST","REAL","IDX2015","A","2021",131.268692263034,
"DNK","HOUSECOST","REAL","IDX2015","A","2022",121.616859405198,
"FIN","HOUSECOST","REAL","IDX2015","A","2019",100.209463123573,
"FIN","HOUSECOST","REAL","IDX2015","A","2020",101.619939128543,
"FIN","HOUSECOST","REAL","IDX2015","A","2021",103.98990709014,
"FIN","HOUSECOST","REAL","IDX2015","A","2022",99.253803500389,
"FRA","HOUSECOST","REAL","IDX2015","A","2019",106.805491324882,
"FRA","HOUSECOST","REAL","IDX2015","A","2020",111.582113470731,
"FRA","HOUSECOST","REAL","IDX2015","A","2021",117.320266489647,
"FRA","HOUSECOST","REAL","IDX2015","A","2022",119.140723289838,
"DEU","HOUSECOST","REAL","IDX2015","A","2019",122.475429062274,
"DEU","HOUSECOST","REAL","IDX2015","A","2020",131.202629204578,
"DEU","HOUSECOST","REAL","IDX2015","A","2021",142.215227726693,
"DEU","HOUSECOST","REAL","IDX2015","A","2022",140.497576087423,
"GRC","HOUSECOST","REAL","IDX2015","A","2019",105.893876169896,
"GRC","HOUSECOST","REAL","IDX2015","A","2020",111.839900179619,
"GRC","HOUSECOST","REAL","IDX2015","A","2021",119.095879515241,
"GRC","HOUSECOST","REAL","IDX2015","A","2022",125.469286386823,
"HUN","HOUSECOST","REAL","IDX2015","A","2019",150.935804129511,
"HUN","HOUSECOST","REAL","IDX2015","A","2020",153.270378682348,
"HUN","HOUSECOST","REAL","IDX2015","A","2021",167.967404063573,
"HUN","HOUSECOST","REAL","IDX2015","A","2022",176.671433684459,
"ISL","HOUSECOST","REAL","IDX2015","A","2019",137.830630525328,
"ISL","HOUSECOST","REAL","IDX2015","A","2020",141.784578302292,
"ISL","HOUSECOST","REAL","IDX2015","A","2021",153.58380930525,
"ISL","HOUSECOST","REAL","IDX2015","A","2022",173.432075838501,
"IRL","HOUSECOST","REAL","IDX2015","A","2019",126.896935488941,
"IRL","HOUSECOST","REAL","IDX2015","A","2020",126.311156714972,
"IRL","HOUSECOST","REAL","IDX2015","A","2021",131.669514514759,
"IRL","HOUSECOST","REAL","IDX2015","A","2022",138.298267316874,
"ITA","HOUSECOST","REAL","IDX2015","A","2019",95.8911908491865,
"ITA","HOUSECOST","REAL","IDX2015","A","2020",97.5998578634386,
"ITA","HOUSECOST","REAL","IDX2015","A","2021",98.5580092185554,
"ITA","HOUSECOST","REAL","IDX2015","A","2022",95.4926435963634,
"JPN","HOUSECOST","REAL","IDX2015","A","2019",107.256276864488,
"JPN","HOUSECOST","REAL","IDX2015","A","2020",106.991630583766,
"JPN","HOUSECOST","REAL","IDX2015","A","2021",112.682818335424,
"JPN","HOUSECOST","REAL","IDX2015","A","2022",118.656146144071,
"KOR","HOUSECOST","REAL","IDX2015","A","2019",99.3215264082791,
"KOR","HOUSECOST","REAL","IDX2015","A","2020",101.554719280167,
"KOR","HOUSECOST","REAL","IDX2015","A","2021",107.766034298144,
"KOR","HOUSECOST","REAL","IDX2015","A","2022",105.428938961057,
"LUX","HOUSECOST","REAL","IDX2015","A","2019",124.18896526553,
"LUX","HOUSECOST","REAL","IDX2015","A","2020",140.042065530844,
"LUX","HOUSECOST","REAL","IDX2015","A","2021",157.53163554511,
"LUX","HOUSECOST","REAL","IDX2015","A","2022",163.730322436969,
"MEX","HOUSECOST","REAL","IDX2015","A","2019",113.829401366688,
"MEX","HOUSECOST","REAL","IDX2015","A","2020",114.870340622546,
"MEX","HOUSECOST","REAL","IDX2015","A","2021",117.648685694823,
"MEX","HOUSECOST","REAL","IDX2015","A","2022",118.345227492737,
"NLD","HOUSECOST","REAL","IDX2015","A","2019",124.073672451422,
"NLD","HOUSECOST","REAL","IDX2015","A","2020",131.813945222471,
"NLD","HOUSECOST","REAL","IDX2015","A","2021",147.152413203219,
"NLD","HOUSECOST","REAL","IDX2015","A","2022",156.427206208255,
"NZL","HOUSECOST","REAL","IDX2015","A","2019",123.486240355503,
"NZL","HOUSECOST","REAL","IDX2015","A","2020",133.866685969767,
"NZL","HOUSECOST","REAL","IDX2015","A","2021",164.32560130627,
"NZL","HOUSECOST","REAL","IDX2015","A","2022",155.696866137449,
"NOR","HOUSECOST","REAL","IDX2015","A","2019",106.12374832019,
"NOR","HOUSECOST","REAL","IDX2015","A","2020",108.93912492652,
"NOR","HOUSECOST","REAL","IDX2015","A","2021",116.998865211854,
"NOR","HOUSECOST","REAL","IDX2015","A","2022",117.233386493118,
"POL","HOUSECOST","REAL","IDX2015","A","2019",116.699381898247,
"POL","HOUSECOST","REAL","IDX2015","A","2020",124.671418059614,
"POL","HOUSECOST","REAL","IDX2015","A","2021",129.117914870178,
"POL","HOUSECOST","REAL","IDX2015","A","2022",126.693463701823,
"PRT","HOUSECOST","REAL","IDX2015","A","2019",135.057527675533,
"PRT","HOUSECOST","REAL","IDX2015","A","2020",146.0318589361,
"PRT","HOUSECOST","REAL","IDX2015","A","2021",156.661692379416,
"PRT","HOUSECOST","REAL","IDX2015","A","2022",164.243148996559,
